source_screening_id,input_title,input_year,matched_title,matched_year,doi,lookup_score,metadata_status
OLD0001,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,10.1016/j.apenergy.2024.124080,1.650,matched
OLD0003,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,10.3390/s25206460,1.650,matched
OLD0005,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,Population Balance Model Validation and Predictionof CQAs for Continuous Milling Processes: toward QbDin Pharmaceutical Drug Product Manufacturing,2013,10.1007/s12247-013-9155-0,0.864,matched
OLD0006,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,10.1088/1742-6596/2647/10/102009,1.650,matched
OLD0009,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,10.1016/j.engstruct.2024.119234,1.650,matched
OLD0010,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,10.1016/j.istruc.2025.109835,1.650,matched
OLD0011,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,10.1145/3604283,1.650,matched
OLD0012,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,10.2495/cmem210011,1.650,matched
OLD0017,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,10.1007/978-3-031-61425-5_52,1.650,matched
OLD0018,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,10.3390/buildings15213890,1.650,matched
OLD0021,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,2022,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,2022,10.1016/j.ymssp.2022.109471,1.650,matched
OLD0025,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,2026,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,2026,10.3390/jmse14040384,1.650,matched
OLD0026,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",2024,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",2024,10.1109/wsc63780.2024.10838742,1.650,matched
OLD0028,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,2023,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,2023,10.1007/s11465-023-0748-0,1.650,matched
OLD0029,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,2022,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,2022,10.1007/978-3-031-04122-8_1,1.650,matched
